gene,coefficient,absolute_coefficient,non_zero,model_intercept,model_alpha,model_l1_ratio
ATR,-0.6049365415663178,0.6049365415663178,True,3.7594663073011145,0.1,0.5
ATM,0.5938993057947644,0.5938993057947644,True,3.7594663073011145,0.1,0.5
TP53,0.26816262638313454,0.26816262638313454,True,3.7594663073011145,0.1,0.5
CHEK2,0.2644683530528554,0.2644683530528554,True,3.7594663073011145,0.1,0.5
GADD45A,0.25844583584786324,0.25844583584786324,True,3.7594663073011145,0.1,0.5
SIAH1,-0.22506162447769423,0.22506162447769423,True,3.7594663073011145,0.1,0.5
CDKN1A,0.18133897386807465,0.18133897386807465,True,3.7594663073011145,0.1,0.5
CHEK1,-0.14281305243960096,0.14281305243960096,True,3.7594663073011145,0.1,0.5
HIPK2,-0.11453174195815892,0.11453174195815892,True,3.7594663073011145,0.1,0.5
PPM1D,-0.009780096871101165,0.009780096871101165,True,3.7594663073011145,0.1,0.5
WSB1,0.0006713437917420834,0.0006713437917420834,True,3.7594663073011145,0.1,0.5
MDM2,0.0,0.0,False,3.7594663073011145,0.1,0.5
BAX,0.0,0.0,False,3.7594663073011145,0.1,0.5
BBC3,-0.0,0.0,False,3.7594663073011145,0.1,0.5
MDM4,0.0,0.0,False,3.7594663073011145,0.1,0.5
CASP3,0.0,0.0,False,3.7594663073011145,0.1,0.5
